sku,product_name,unit_price,category,brand_name,product_desc,weight
TECH-WH-001,Wireless Headphones - Pro,149.99,Electronics,AudioMax,Noise-canceling over-ear headphones,0.450
TECH-WH-002,Bluetooth Earbuds Mini,79.50,Electronics,AudioMax,Water-resistant sport earbuds,0.050
HOME-DK-101,Desk Lamp LED,34.00,Home Office,BrightLife,Touch control with 5 brightness levels,1.200
OFF-CH-502,Ergonomic Office Chair,299.99,Furniture,ComfortSeat,High-back mesh chair with lumbar support,15.500
KITCH-BL-20,High-Speed Blender,120.00,Kitchen,ChefMaster,1200W motor for smoothies and soups,4.100
GYM-DB-010,Hex Dumbbell 10kg,45.00,Fitness,IronGrip,Rubber coated professional dumbbell,10.000
GYM-DB-015,Hex Dumbbell 15kg,65.00,Fitness,IronGrip,Rubber coated professional dumbbell,15.000
GARD-SH-001,Pruning Shears,18.75,Garden,GreenThumb,Stainless steel blades with safety lock,0.300
CAMP-TN-004,4-Person Camping Tent,185.00,Outdoors,TrailBlazer,Double-layer waterproof family tent,5.800
PET-FD-001,Premium Dog Food 5kg,28.00,Pets,NutriPaw,Grain-free chicken and vegetable recipe,5.000